State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,LP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Ekiti,ADO EKITI,3463,733,25,727,3448,702,1,1,0,17,4,534,1,0,0,0,0,0,1,131,1,9,0,0,1,344,0,0.0
Ekiti,EFON,347,129,1,129,347,128,0,0,0,1,0,110,0,0,0,0,0,0,0,17,0,0,0,0,0,119,0,0.0
Ekiti,EKITI EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0.0
Ekiti,EKITI SOUTH WEST,1457,446,12,446,1457,434,0,0,1,8,0,388,0,0,0,0,0,0,0,37,0,0,0,0,0,188,0,0.0
Ekiti,EKITI WEST,1021,510,10,510,1021,499,0,0,0,7,2,398,1,0,0,0,0,1,0,90,0,0,0,0,0,184,0,0.0
Ekiti,EMURE,634,409,0,408,908,408,0,0,0,26,3,354,0,0,0,0,0,0,1,24,0,0,0,0,0,94,0,0.0
Ekiti,GBONYIN,1318,357,13,464,1318,464,0,0,0,11,1,447,0,0,0,0,0,0,0,5,0,0,0,0,0,115,0,0.0
Ekiti,IDO / OSI,312,106,0,106,312,106,0,0,0,5,4,97,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0.0
Ekiti,IJERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0.0
Ekiti,IKERE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0.0
Ekiti,IKOLE,1750,604,5,595,1750,590,0,0,0,16,1,543,1,0,0,0,0,0,0,29,0,0,0,0,0,189,0,0.0
Ekiti,ILEJEMEJE,208,135,1,138,208,134,0,0,0,27,1,87,0,0,0,0,0,0,0,19,0,0,0,0,0,91,0,0.0
Ekiti,IREPODUN / IFELODUN,270,118,3,118,270,115,0,0,0,3,1,108,0,0,0,0,0,0,0,3,0,0,0,0,0,174,0,0.0
Ekiti,ISE / ORUN,980,310,2,309,980,307,0,0,0,3,3,241,0,0,0,0,0,0,0,60,0,0,0,0,0,114,0,0.0
Ekiti,MOBA,2005,927,1,930,2004,922,0,0,0,23,2,855,0,0,0,0,0,0,0,42,0,0,0,0,0,116,0,0.0
Ekiti,OYE,2038,620,10,620,2038,610,0,1,1,15,4,397,0,2,0,0,0,0,0,188,0,1,1,0,0,191,0,0.0
