State,LGA,Election ID,Election Name,Election Date,Ward,Ward Code,Ward ID,Polling Unit,PU Code,PU ID,Polling Unit ID,Result Updated Time,Session,Ballots Issued,Ballots Used,Invalid Votes,Result Info PU,Total Accredited,Total Registered,Valid Votes,Image File,Image URL,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,AMEGUWENU VILLAGE HALL,14/07/01/001,6a35c56758f677851b78b1be,40015,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,AMEGUWANI VILLAGE SQUARE I,14/07/01/002,6a35c56758f677851b78b1c5,40016,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,AMEGUWANI VILLAGE SQUARE II,14/07/01/003,6a35c56758f677851b78b1c1,40017,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,OWERE VILLAGE SQUARE,14/07/01/004,6a35c56758f677851b78b1c3,40018,,1781968147180,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2989/14/265/3053/40008/3fb4127c-5731-460d-9e8c-29753b6d671f.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,AGUMOHA VILLAGE SQUARE,14/07/01/005,6a35c56758f677851b78b1bf,40019,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,PREMIER PRIMARY SCHOOL,14/07/01/006,6a35c56758f677851b78b1c4,40020,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,UMUDIMALOKEOCHA VILLAGE HALL,14/07/01/007,6a35c56758f677851b78b1c0,40021,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU I,01,5f0f3bfb8f77bb3acad09985,AMANI VILLAGE SQUARE,14/07/01/008,6a35c56758f677851b78b1c2,40022,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU II,02,5f0f3bfb8f77bb3acad09986,USE VILLAGE SQUARE,14/07/02/001,6a35c56758f677851b78b036,40023,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU II,02,5f0f3bfb8f77bb3acad09986,UWANI AMAOGBO VILLAGE SQUARE,14/07/02/002,6a35c56758f677851b78b038,40024,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU II,02,5f0f3bfb8f77bb3acad09986,UWANI  AMABOKWU,14/07/02/003,6a35c56758f677851b78b034,40025,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU II,02,5f0f3bfb8f77bb3acad09986,UWENU AMABOKWU,14/07/02/004,6a35c56758f677851b78b037,40026,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU II,02,5f0f3bfb8f77bb3acad09986,UMUDINGWOJI  VILLAGE SQUARE,14/07/02/005,6a35c56758f677851b78b03a,40027,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU II,02,5f0f3bfb8f77bb3acad09986,UMUDIMAGADA   VILLAGE SQUARE,14/07/02/006,6a35c56758f677851b78b039,40028,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU II,02,5f0f3bfb8f77bb3acad09986,AMABOKWU PRIMARY SCHOOL,14/07/02/007,6a35c56758f677851b78b035,40029,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,UWANI OTOBO VILLAGE SQUARE,14/07/03/001,6a35c56758f677851b78b2bd,40030,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,AMADIEFFIA VILLAGE SQUARE,14/07/03/002,6a35c56758f677851b78b2c6,40031,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,AMANKPO  VILLAGE SQUARE,14/07/03/003,6a35c56758f677851b78b2c0,40032,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,"CENTRAL SCHOOL, AKU",14/07/03/004,6a35c56758f677851b78b2c3,40033,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,UMUDO OFFIENYI VILLAGE HALL I,14/07/03/005,6a35c56758f677851b78b2c2,40034,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,UMUDO OFFIENYI VILLAGE HALL II,14/07/03/006,6a35c56758f677851b78b2be,40035,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,AMAGU UWANI VILLAGE HALL  I,14/07/03/007,6a35c56758f677851b78b2bf,40036,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,AMAGU UWANI VILLAGE HALL  II,14/07/03/008,6a35c56758f677851b78b2c4,40037,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,AMAEZIKE VILLAGE HALL I,14/07/03/009,6a35c56758f677851b78b2c1,40038,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,AMAEZIKE VILLAGE HALL II,14/07/03/010,6a35c56758f677851b78b2c5,40039,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU III,03,5f0f3bfb8f77bb3acad09987,"EKE-AKU MKT SQUARE, AMANKPO",14/07/03/011,6a35c56758f677851b78b2c7,141986,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OTOBO UMUDIKWU,14/07/04/001,6a35c56758f677851b78b298,40040,,1781968308958,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2989/14/265/3056/40030/b371c000-1a87-41d8-8fe7-9a5961ceb43a.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OBU UMUZOKE,14/07/04/002,6a35c56758f677851b78b29d,40041,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,EGBUGWU PRIMARY SCHOOL,14/07/04/003,6a35c56758f677851b78b2a2,40042,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OBU AMETI SQUARE I,14/07/04/004,6a35c56758f677851b78b299,40043,,1781969594158,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2989/14/265/3056/40033/3c590cb8-22e8-4d21-9442-a37824597cd0.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OBU AMETI SQUARE II,14/07/04/005,6a35c56758f677851b78b29b,40044,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OBU DIYOKE,14/07/04/006,6a35c56758f677851b78b29c,40045,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,AMUWANI UGWUNANI,14/07/04/007,6a35c56758f677851b78b29a,40046,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,UGWUNANI PRIMARY SCHOOL,14/07/04/008,6a35c56758f677851b78b2a3,40047,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OTOBO ENU NKWO LELEGU,14/07/04/009,6a35c56758f677851b78b29e,40048,,1781968142839,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2989/14/265/3056/40038/83c05bc0-6449-4540-be48-a02b03648bb1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OYE VILLAGE SQUARE LELEGU,14/07/04/010,6a35c56758f677851b78b2a0,40049,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OBU IKENYI ODOBAJA,14/07/04/011,6a35c56758f677851b78b2a1,40050,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU IV,04,5f0f3bfc8f77bb3acad09988,OLD PUMP NUA,14/07/04/012,6a35c56758f677851b78b29f,40051,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,OTOBO ETITI OBIE,14/07/05/001,6a35c56758f677851b78ae8e,40052,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,OTOBO EZEANI OBIE,14/07/05/002,6a35c56758f677851b78ae8d,40053,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,OBU UMUORI OBIE,14/07/05/003,6a35c56758f677851b78ae95,40054,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,"UNION PRIMARY SCHOOL, AMOGWU",14/07/05/004,6a35c56758f677851b78ae97,40055,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,OTOBO UWANI ARAM,14/07/05/005,6a35c56758f677851b78ae93,40056,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,OTOBO AMAECHEM I,14/07/05/006,6a35c56758f677851b78ae90,40057,,1781968290358,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2989/14/265/3057/40047/c4ecc6cb-e2fd-46c5-8399-961111605915.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,OTOBO AMAECHEM II,14/07/05/007,6a35c56758f677851b78ae96,40058,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,UMUOJU HALL,14/07/05/008,6a35c56758f677851b78ae94,40059,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,UMUONYEMELEGE VILLAGE HALL,14/07/05/009,6a35c56758f677851b78ae98,40060,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,UMUGURU VILLAGE HALL,14/07/05/010,6a35c56758f677851b78ae91,40061,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,AMAUWANI ORIE VILLAGE SQUARE,14/07/05/011,6a35c56758f677851b78ae92,40062,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,AKU V  (IDUEME),05,5f0f3bfc8f77bb3acad09989,IGBOWERUKA VILLAGE SQUARE,14/07/05/012,6a35c56758f677851b78ae8f,40063,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,DIOGBE/UMUNKO,12,5f0f3bfd8f77bb3acad09990,DIOGBE TOWN HALL I,14/07/12/001,6a35c56758f677851b78b192,40112,,1781968508076,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2989/14/265/3064/40103/8a156219-2d83-4c8b-82ef-c0183a4ce719.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,DIOGBE/UMUNKO,12,5f0f3bfd8f77bb3acad09990,DIOGBE TOWN HALL II,14/07/12/002,6a35c56758f677851b78b19b,40113,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enugu,IGBO ETITI,6a35c53958f677851b78ac96,Senatorial election - 2026-06-20 - enugu north,2023-06-19T23:00:00.000Z,DIOGBE/UMUNKO,12,5f0f3bfd8f77bb3acad09990,DIOGBE TOWN HALL III,14/07/12/003,6a35c56758f677851b78b199,40114,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
