State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,ADC,ADP,APC,APGA,APM,NNPP,PDP,SDP,ZLP,NRM,APP,BP,PRP,YPP,Polling Units
FCT,ABAJI,ABAJI CENTRAL,5161,1968,37,1967,5115,1929,0,0,2,4,1018,0,0,4,229,0,0,0,0,0,0,672,9
FCT,ABAJI,ABAJI NORTH EAST,11940,3716,55,3704,11936,3642,3,0,53,4,2417,0,0,7,472,0,0,0,0,0,0,719,20
FCT,ABAJI,ABAJI SOUTH EAST,6232,1609,28,1609,6220,1579,1,0,8,5,1155,0,0,2,151,0,0,0,0,0,0,257,10
FCT,ABAJI,AGYANA/PANDAGI,5821,2237,19,2235,5815,2209,1,0,40,4,1316,0,0,5,518,0,0,0,0,0,0,324,11
FCT,ABAJI,ALU MAMAGI,5171,1681,3,1802,5171,1675,0,0,377,1,652,0,0,0,336,0,0,0,0,0,0,279,8
FCT,ABAJI,GAWU,11893,3923,116,4263,12307,3807,11,0,164,8,2167,0,0,15,615,0,0,0,0,0,0,825,22
FCT,ABAJI,GURDI,6166,1928,14,1923,6137,1909,0,0,11,1,1041,0,0,1,330,0,0,0,0,0,0,522,12
FCT,ABAJI,NUKU,11519,4270,83,4419,11854,4328,3,0,35,9,3031,0,0,43,648,0,0,0,0,0,0,593,20
FCT,ABAJI,RIMBA EBAGI,8185,2387,30,2377,8185,2347,0,0,9,2,1063,0,0,2,669,0,0,0,0,0,0,602,11
FCT,ABAJI,YABA,6794,2595,20,2861,6731,2821,0,0,18,0,1610,0,0,4,611,0,0,0,0,0,0,579,12
FCT,BWARI,BWARI CENTRAL,24500,3270,150,3268,25914,3110,12,5,378,24,2106,84,0,41,299,38,134,0,0,0,0,0,44
FCT,BWARI,BYAZHIN,34500,3734,123,3670,26274,3543,57,3,561,10,1961,293,0,1,308,20,335,2,0,0,0,0,39
FCT,BWARI,DUTSE ALHAJI,66042,6269,828,5459,65345,5158,37,5,747,16,2765,187,0,69,553,82,729,7,0,0,0,0,105
FCT,BWARI,IGU,4732,1375,50,1946,5623,1730,1,0,17,5,1441,2,0,0,146,1,36,1,0,0,0,0,10
FCT,BWARI,KAWU,5749,1692,62,1746,5718,1524,0,0,33,6,1254,18,0,23,122,57,110,1,0,0,0,0,16
FCT,BWARI,KUBWA,60312,3952,164,5172,53995,3736,56,6,850,18,1762,160,0,7,432,49,392,2,0,0,0,0,80
FCT,BWARI,KUDURU,28807,3405,140,4150,29740,3140,6,6,467,10,1974,138,0,64,224,96,165,0,0,0,0,0,52
FCT,BWARI,SHERE,11244,3126,59,3148,11884,3000,9,2,137,13,2252,23,0,2,167,152,298,0,0,0,0,0,23
FCT,BWARI,USHAFA,22882,3199,144,3175,21559,3070,24,0,157,6,1530,73,0,5,313,20,1003,3,0,0,0,0,37
FCT,BWARI,USUMA,46000,4423,122,3339,41889,3229,138,47,855,21,1145,307,0,0,302,62,358,14,0,0,0,0,79
FCT,GWAGWALADA,DOBI,17778,6626,187,6578,18572,6397,7,1,56,18,3751,114,1,9,2419,11,0,0,0,0,0,3,30
FCT,GWAGWALADA,GWAGWALADA CENTRE,33923,5536,226,5519,34095,5285,2,2,260,14,2332,199,3,16,2390,67,0,0,0,0,0,8,56
FCT,GWAGWALADA,GWAKO,18785,4171,153,4160,18637,3997,7,2,166,15,1720,359,4,76,1511,42,0,0,0,0,0,96,32
FCT,GWAGWALADA,IBWA,12996,4708,201,4681,12979,4482,2,0,64,15,1610,258,3,118,2406,4,0,0,0,0,0,2,22
FCT,GWAGWALADA,IKWA,11799,3302,64,3281,12212,3216,2,0,43,3,721,147,0,12,2287,1,0,0,0,0,0,0,20
FCT,GWAGWALADA,KUTUNKU,29369,5647,216,5628,29913,5410,5,2,154,31,2906,203,4,35,2021,92,0,0,0,0,0,31,45
FCT,GWAGWALADA,PAIKO,14663,4159,175,4180,14650,4076,9,3,130,15,1703,103,4,56,1982,68,0,0,0,0,0,4,26
FCT,GWAGWALADA,STAFF QUARTERS,24633,3966,97,3596,24719,3446,4,3,263,8,1674,149,0,8,1302,80,0,0,0,0,0,6,43
FCT,GWAGWALADA,TUNGAN MAJE,19776,4601,115,5039,20053,4468,1,3,107,9,1120,85,1,13,3101,22,0,0,0,0,0,6,34
FCT,GWAGWALADA,ZUBA,18871,3499,95,4165,18829,3396,2,0,107,3,526,22,1,12,2720,4,0,0,0,0,0,1,30
