State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Kano,DAWAKI KUDU,DABAR KWARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,95.7
Kano,DAWAKI KUDU,DANBAGIWA,1311,231,1,231,1311,230,0,0,0,0,0,229,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,100.0
Kano,DAWAKI KUDU,DAWAKI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,100.0
Kano,DAWAKI KUDU,DAWAKIJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,100.0
Kano,DAWAKI KUDU,DOSAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,71.4
Kano,DAWAKI KUDU,GANO,997,78,0,62,997,62,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,23,95.8
Kano,DAWAKI KUDU,GURJIYA,273,35,0,35,273,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,100.0
Kano,DAWAKI KUDU,JIDO,750,64,0,64,750,64,0,0,0,0,0,61,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12,10,83.3
Kano,DAWAKI KUDU,TAMBURAWA,849,60,0,60,849,60,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,97.1
Kano,DAWAKI KUDU,TSAKUWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,97.1
Kano,DAWAKI KUDU,UNGUWAR DUNIYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,100.0
Kano,DAWAKI KUDU,YANBARAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,63.6
Kano,DAWAKI KUDU,YANKATSARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,100.0
Kano,DAWAKI KUDU,YARGAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,100.0
Kano,DAWAKI KUDU,ZOGARAWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,50.0
Kano,WARAWA,AMARAWA,400,90,0,90,395,90,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,100.0
Kano,WARAWA,DANLASAN,962,156,0,155,962,155,0,0,0,0,0,153,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,85.7
Kano,WARAWA,GARIN DAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Kano,WARAWA,GOGEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,100.0
Kano,WARAWA,IMAWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Kano,WARAWA,J/GALADIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,100.0
Kano,WARAWA,JEMAGU,500,80,0,80,475,80,0,0,2,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,100.0
Kano,WARAWA,JIGAWA,434,123,2,123,434,121,0,0,0,0,0,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Kano,WARAWA,KATARKAWA,235,33,0,31,235,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,100.0
Kano,WARAWA,MADARI MATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,100.0
Kano,WARAWA,TAMBURAWAR GABAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,81.8
Kano,WARAWA,TANGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,93.3
Kano,WARAWA,WARAWA,600,34,3,34,588,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Kano,WARAWA,YAN DALLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100.0
Kano,WARAWA,YANGIZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,100.0
