Election ID,LGA,Ward,Ward ID,Error
6a35c845f42f4600b2634026,OKITIPUPA,ILUTITUN 1,5f0f3e2e8f77bb3acad0a834,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2e8f77bb3acad0a834
6a35c845f42f4600b2634026,OKITIPUPA,AYE 11,5f0f3e2e8f77bb3acad0a838,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2e8f77bb3acad0a838
6a35c845f42f4600b2634026,OKITIPUPA,OKITIPUPA 11,5f0f3e2e8f77bb3acad0a83a,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2e8f77bb3acad0a83a
6a35c845f42f4600b2634026,OKITIPUPA,ILUTITUN 111,5f0f3e2e8f77bb3acad0a836,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2e8f77bb3acad0a836
6a35c845f42f4600b2634026,OKITIPUPA,IGBOTAKO 1,5f0f3e2d8f77bb3acad0a830,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2d8f77bb3acad0a830
6a35c845f42f4600b2634026,OKITIPUPA,OKITIPUPA 1,5f0f3e2e8f77bb3acad0a839,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2e8f77bb3acad0a839
6a35c845f42f4600b2634026,OKITIPUPA,ILUTITUN II,5f0f3e2e8f77bb3acad0a835,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2e8f77bb3acad0a835
6a35c845f42f4600b2634026,OKITIPUPA,IJU-ODO/EREKITI,5f0f3e2d8f77bb3acad0a832,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2d8f77bb3acad0a832
6a35c845f42f4600b2634026,OKITIPUPA,IKOYA/OLOTO,5f0f3e2d8f77bb3acad0a833,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2d8f77bb3acad0a833
6a35c845f42f4600b2634026,OKITIPUPA,AYEKA/IGBODIGO,5f0f3e2c8f77bb3acad0a82e,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2c8f77bb3acad0a82e
6a35c845f42f4600b2634026,OKITIPUPA,ODE AYE 1,5f0f3e2e8f77bb3acad0a837,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2e8f77bb3acad0a837
6a35c845f42f4600b2634026,OKITIPUPA,ERINJE,5f0f3e2d8f77bb3acad0a82f,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2d8f77bb3acad0a82f
6a35c845f42f4600b2634026,OKITIPUPA,IGBOTAKO 11,5f0f3e2d8f77bb3acad0a831,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2d8f77bb3acad0a831
6a35c845f42f4600b2634026,ODIGBO,AGBABU,5f0f3e2b8f77bb3acad0a823,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2b8f77bb3acad0a823
6a35c845f42f4600b2634026,ODIGBO,ODIGBO,5f0f3e2c8f77bb3acad0a82a,400 Client Error: Bad Request for url: https://dolphin-app-sleqh.ondigitalocean.app/api/v1/elections/6a35c845f42f4600b2634026/pus?ward=5f0f3e2c8f77bb3acad0a82a
