State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,NNPP,PRP,SDP,YPP,ZLP,Polling Units
Osun,ATAKUMOSA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
Osun,ATAKUMOSA WEST,"518,000,000,000,000,000,000,000","149,000,000,000,000,000,000,000","7,000,000,000,000,000,000,000","149,000,000,000,000,000,000,000","518,000,000,000,000,000,000,000","142,000,000,000,000,000,000,000","81,000,000,000,000,000,000,000",0,0,"5,000,000,000,000,000,000,000",0,"56,000,000,000,000,000,000,000",0,0,0,0,0,0,0,0,0,76
Osun,AYEDAADE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
Osun,AYEDIRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Osun,BOLUWADURO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
Osun,BORIPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
Osun,EDE NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
Osun,EDE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
Osun,EGBEDORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Osun,EJIGBO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
Osun,IFE CENTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
