State,LGA,Election ID,Election Name,Election Date,Ward,Ward Code,Ward ID,Polling Unit,PU Code,PU ID,Polling Unit ID,Result Updated Time,Session,Ballots Issued,Ballots Used,Invalid Votes,Result Info PU,Total Accredited,Total Registered,Valid Votes,Image File,Image URL,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,NNPP,PRP,SDP,YPP,ZLP
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,L.A  PRY SCHOOL AJEBANDELE,29/01/10/001,6a7f7928dcbc755a763f0eb1,97094,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,"ST. JOHN'S PRY SCHOOL, ERINBURO",29/01/10/002,6a7f7928dcbc755a763f0ead,97095,,1786805415567,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2998/30/600/6873/95994/fb36f961-4b0e-4ae3-999d-accf3b9ce946.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,L.A. PRY SCHOOL AYINRIN ADEDEJI I,29/01/10/003,6a7f7928dcbc755a763f0eaf,97096,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,OPEN SPACE OLOWORU OWODE,29/01/10/004,6a7f7928dcbc755a763f0eae,97097,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,"EMMAN. PRY. SCHOOL, LAPAEDE",29/01/10/005,6a7f7928dcbc755a763f0eb2,97098,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,"COMM. PRY SCHOOL, OKE-ODO",29/01/10/006,6a7f7928dcbc755a763f0eb0,97099,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,L.A. PRY SCHOOL ATORIN,29/01/10/007,6a7f7928dcbc755a763f0eac,97100,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AJEBANDELE,10,5f0f3e378f77bb3acad0a871,"OPEN SPACE,  ORISA JUNCTION, OTUNRAREBI",29/01/10/008,6a7f7928dcbc755a763f0eb3,125811,,,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AYEGUNLE,06,5f0f3e368f77bb3acad0a86d,ST. LUKE'S ODOGBO,29/01/06/001,6a7f7928dcbc755a763f1512,97067,,1786813225685,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2998/30/600/6869/95966/7c38f79b-d6a1-4d39-bd81-b8fcc480d7da.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osun,ATAKUMOSA EAST,6a7f788adcbc755a763f082a,Governorship election - 2026-08-15 - OSUN,2026-08-14T23:00:00.000Z,AYEGUNLE,06,5f0f3e368f77bb3acad0a86d,"L.A. PRY. SCHOOL, AJIDO",29/01/06/002,6a7f7928dcbc755a763f1515,97068,,1786810683197,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2998/30/600/6869/95967/af423ec6-e9e8-4155-9ac7-c279de58de15.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
