State,LGA,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,Polling Units
ENUGU,IGBO ETITI,0,0,0,0,0,0,201
ENUGU,IGBO EZE NORTH,0,0,0,0,0,0,266
ENUGU,IGBO EZE SOUTH,0,0,0,0,0,0,213
ENUGU,NSUKKA,0,0,0,0,0,0,397
ENUGU,UDENU,0,0,0,0,0,0,265
ENUGU,UZO-UWANI,0,0,0,0,0,0,146
KANO,WARAWA,0,0,0,0,0,0,127
KEBBI,ZURU,0,0,0,0,0,0,200
NASARAWA,AKWANGA,0,0,0,0,0,0,206
NASARAWA,NASARAWA EGGON,0,0,0,0,0,0,255
NASARAWA,WAMBA,0,0,0,0,0,0,122
ONDO,ESE-ODO,0,0,0,0,0,0,143
ONDO,ILAJE,0,0,0,0,0,0,292
ONDO,ILEOLUJI/OKEIGBO,0,0,0,0,0,0,191
ONDO,IRELE,0,0,0,0,0,0,155
ONDO,ODIGBO,0,0,0,0,0,0,304
ONDO,OKITIPUPA,0,0,0,0,0,0,269
RIVERS,ANDONI,0,0,0,0,0,0,265
RIVERS,ELEME,0,0,0,0,0,0,233
RIVERS,GOKANA,0,0,0,0,0,0,260
RIVERS,KHANA,0,0,0,0,0,0,359
RIVERS,OPOBO/NEKORO,0,0,0,0,0,0,154
RIVERS,OYIGBO,0,0,0,0,0,0,217
RIVERS,TAI,0,0,0,0,0,0,141
