State,LGA,Election ID,Election Name,Election Date,Ward,Ward Code,Ward ID,Polling Unit,PU Code,PU ID,Polling Unit ID,Result Updated Time,Session,Ballots Issued,Ballots Used,Invalid Votes,Result Info PU,Total Accredited,Total Registered,Valid Votes,Image File,Image URL
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,UNG. DAURA GALADIMA,21/21/02/017,6a35d6f352574004bac51690,154292,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,GOMMAWA,21/21/02/014,6a35d6f352574004bac5168c,154289,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,UKOTO PRIMARY SCHOOL,21/21/02/012,6a35d6f352574004bac5168d,154287,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,LAYIN BAKO TESE,21/21/02/013,6a35d6f352574004bac5168f,154288,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,UMANA MUSA,21/21/02/004,6a35d6f352574004bac51689,72756,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,ASIBITIN SEMSAWNE,21/21/02/016,6a35d6f352574004bac5168b,154291,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,DABAI MARKET,21/21/02/011,6a35d6f352574004bac5168a,154286,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,AGATA USMAN S/KIDI,21/21/02/015,6a35d6f352574004bac5168e,154290,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,B/GALADIMA,21/21/02/005,6a35d6f352574004bac51686,72757,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,BANTO WUYA,21/21/02/010,6a35d6f352574004bac51687,72762,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,DABAI FADA,21/21/02/001,6a35d6f352574004bac51688,72753,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,KWENDU,21/21/02/008,6a35d6f352574004bac51680,72760,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,RESGE DUMBI,21/21/02/006,6a35d6f352574004bac51682,72758,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,UNG. S/UBAN DAWAKI,21/21/02/009,6a35d6f352574004bac51683,72761,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,SABON G/DABARI,21/21/02/002,6a35d6f352574004bac51685,72754,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,UNG. M. MARGISHI,21/21/02/007,6a35d6f352574004bac51681,72759,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,CIROMAN DABAI,02,5f0f3d4b8f77bb3acad0a25e,UMAMA MUSA 'A',21/21/02/003,6a35d6f352574004bac51684,72755,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,EDIBI LONGNO,21/21/10/012,6a35d6f352574004bac51663,154377,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,SALAMA GURAGORI,21/21/10/009,6a35d6f352574004bac51658,72838,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,DEKEINBE/DIGAGO,21/21/10/002,6a35d6f352574004bac51659,72831,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,BOGU MAKERA,21/21/10/001,6a35d6f352574004bac5165c,72830,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,ZODI,21/21/10/011,6a35d6f352574004bac5165a,72840,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,GADA/UBANDAWAKI,21/21/10/003,6a35d6f352574004bac5165b,72832,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,KERI DOGO LOKOMO,21/21/10/006,6a35d6f352574004bac5165d,72835,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,RAFI HITTA,21/21/10/008,6a35d6f352574004bac51661,72837,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,GOMAWA,21/21/10/004,6a35d6f352574004bac5165e,72833,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,GOBO TAMBARI,21/21/10/005,6a35d6f352574004bac51660,72834,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,KWARGINLA,21/21/10/010,6a35d6f352574004bac5165f,72839,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,ZODI,10,5f0f3d4c8f77bb3acad0a266,MARAFA GUDU,21/21/10/007,6a35d6f352574004bac51662,72836,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,TOKO MAGAJI PRI. SCHOOL,21/21/06/015,6a35d6f352574004bac516b4,154348,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,GOVT DAY S/SCHOOL RIKOTO,21/21/06/021,6a35d6f352574004bac516b5,154354,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,SAFIYANU UNIT OPEN SPACE,21/21/06/011,6a35d6f352574004bac516b6,154344,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,UNG WANDA (KWATA),21/21/06/022,6a35d6f352574004bac516b3,154355,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,TUDUN WADA PRIMARY SCHOOL B,21/21/06/017,6a35d6f352574004bac516b7,154350,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,RIKOTO PRIMARY SCHOOL,21/21/06/024,6a35d6f352574004bac516b2,154357,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,PHC RIKOTO,21/21/06/010,6a35d6f352574004bac516ac,154343,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,UNGUWAR KONGO GALADIMA (OPEN SPACE),21/21/06/019,6a35d6f352574004bac516af,154352,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,UNG HIGH COURT,21/21/06/020,6a35d6f352574004bac516b0,154353,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,RIKOTO COPERS LODGE,21/21/06/023,6a35d6f352574004bac516aa,154356,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,TUDUN WADA PRIMARY SCHOOL A,21/21/06/016,6a35d6f352574004bac516b1,154349,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,GARKAR SIDDI M GORORI (OPEN SPACE),21/21/06/026,6a35d6f352574004bac516ae,154359,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,ZONAL VET CLINIC,21/21/06/027,6a35d6f352574004bac516ab,154360,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,GIDAN KIFI,21/21/06/013,6a35d6f352574004bac516a5,154346,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,G/S/BUNU 'A',21/21/06/002,6a35d6f352574004bac5169e,72798,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,UNGUWAR SABA (OPEN SPACE),21/21/06/012,6a35d6f352574004bac516a9,154345,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,BORE HOLE S/RIKOTO,21/21/06/018,6a35d6f352574004bac516ad,154351,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,ZONAL H/COURT RIKOTO,21/21/06/014,6a35d6f352574004bac516a6,154347,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,PRIMARY EDU. BOARD,21/21/06/025,6a35d6f352574004bac516a7,154358,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,TUDUN WADA P.S. (G/R.S MAIDAWA),21/21/06/004,6a35d6f352574004bac516a0,72800,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,G/KIRSO,21/21/06/001,6a35d6f352574004bac516a4,72797,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,T/DORO PRIMARY SCHOOL,21/21/06/028,6a35d6f352574004bac516a8,154361,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,G/S/BUNU,21/21/06/003,6a35d6f352574004bac516a1,72799,,,,,,,,,,,
KEBBI,ZURU,6a35d6ee52574004bac51620,House of Assemby election - 2026-06-20 - ZURU,2026-06-19T23:00:00.000Z,RIKOTO,06,5f0f3d4b8f77bb3acad0a262,VET. CLINIC,21/21/06/008,6a35d6f352574004bac516a2,72804,,,,,,,,,,,
