State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,Polling Units
ENUGU,IGBO ETITI,AKU I,0,0,0,0,0,0,8
ENUGU,IGBO ETITI,AKU II,0,0,0,0,0,0,7
ENUGU,IGBO ETITI,AKU III,0,0,0,0,0,0,11
ENUGU,IGBO ETITI,AKU IV,0,0,0,0,0,0,12
ENUGU,IGBO ETITI,AKU V  (IDUEME),0,0,0,0,0,0,12
ENUGU,IGBO ETITI,DIOGBE/UMUNKO,0,0,0,0,0,0,14
ENUGU,IGBO ETITI,EJUOHA/UDEME,0,0,0,0,0,0,13
ENUGU,IGBO ETITI,EKWEGBE I,0,0,0,0,0,0,11
ENUGU,IGBO ETITI,EKWEGBE II,0,0,0,0,0,0,10
ENUGU,IGBO ETITI,IKOLO/OHEBE,0,0,0,0,0,0,13
ENUGU,IGBO ETITI,OHAODO I,0,0,0,0,0,0,7
ENUGU,IGBO ETITI,OHAODO II,0,0,0,0,0,0,5
ENUGU,IGBO ETITI,ONYOHOR/OCHIMA/IDOHA,0,0,0,0,0,0,11
ENUGU,IGBO ETITI,OZALLA I,0,0,0,0,0,0,11
ENUGU,IGBO ETITI,OZALLA II,0,0,0,0,0,0,9
ENUGU,IGBO ETITI,UKEHE I,0,0,0,0,0,0,10
ENUGU,IGBO ETITI,UKEHE II,0,0,0,0,0,0,10
ENUGU,IGBO ETITI,UKEHE III,0,0,0,0,0,0,8
ENUGU,IGBO ETITI,UKEHE IV,0,0,0,0,0,0,12
ENUGU,IGBO ETITI,UKEHE V,0,0,0,0,0,0,7
ENUGU,IGBO EZE NORTH,ESSODO 1,0,0,0,0,0,0,21
ENUGU,IGBO EZE NORTH,ESSODO 11,0,0,0,0,0,0,15
ENUGU,IGBO EZE NORTH,ESSODO 111,0,0,0,0,0,0,11
ENUGU,IGBO EZE NORTH,ETTE 1,0,0,0,0,0,0,7
ENUGU,IGBO EZE NORTH,ETTE 11,0,0,0,0,0,0,10
ENUGU,IGBO EZE NORTH,ETTE CENTRAL,0,0,0,0,0,0,9
ENUGU,IGBO EZE NORTH,EZZODO,0,0,0,0,0,0,12
ENUGU,IGBO EZE NORTH,UMUITODO I,0,0,0,0,0,0,12
ENUGU,IGBO EZE NORTH,UMUITODO II,0,0,0,0,0,0,13
ENUGU,IGBO EZE NORTH,UMUITODO III,0,0,0,0,0,0,15
ENUGU,IGBO EZE NORTH,UMUOZZI I,0,0,0,0,0,0,11
ENUGU,IGBO EZE NORTH,UMUOZZI II,0,0,0,0,0,0,15
ENUGU,IGBO EZE NORTH,UMUOZZI III,0,0,0,0,0,0,14
ENUGU,IGBO EZE NORTH,UMUOZZI IV,0,0,0,0,0,0,13
ENUGU,IGBO EZE NORTH,UMUOZZI IX,0,0,0,0,0,0,12
ENUGU,IGBO EZE NORTH,UMUOZZI V,0,0,0,0,0,0,13
ENUGU,IGBO EZE NORTH,UMUOZZI VI,0,0,0,0,0,0,14
ENUGU,IGBO EZE NORTH,UMUOZZI VII,0,0,0,0,0,0,19
ENUGU,IGBO EZE NORTH,UMUOZZI VIII,0,0,0,0,0,0,14
ENUGU,IGBO EZE NORTH,UMUOZZI X,0,0,0,0,0,0,16
ENUGU,IGBO EZE SOUTH,ALOR AGU,0,0,0,0,0,0,11
ENUGU,IGBO EZE SOUTH,AMEBO /HAUSA/ YORUBA,0,0,0,0,0,0,16
ENUGU,IGBO EZE SOUTH,ECHARA,0,0,0,0,0,0,20
ENUGU,IGBO EZE SOUTH,EZEMA WARD,0,0,0,0,0,0,14
ENUGU,IGBO EZE SOUTH,IHEAKA (LIKKI/AKUTARA WARD),0,0,0,0,0,0,20
ENUGU,IGBO EZE SOUTH,IHEAKA (UGO AKOYI),0,0,0,0,0,0,13
ENUGU,IGBO EZE SOUTH,IHEAKPU (AJUONA OGBAGU WARD),0,0,0,0,0,0,11
ENUGU,IGBO EZE SOUTH,IHEAKPU (EZZI NGWU WARD),0,0,0,0,0,0,13
ENUGU,IGBO EZE SOUTH,ITCHI/UWANI I,0,0,0,0,0,0,10
ENUGU,IGBO EZE SOUTH,ITCHI/UWANI II,0,0,0,0,0,0,9
ENUGU,IGBO EZE SOUTH,NKALAGU OBUKPA,0,0,0,0,0,0,8
ENUGU,IGBO EZE SOUTH,OVOKO (AJUONA WARD),0,0,0,0,0,0,12
ENUGU,IGBO EZE SOUTH,OVOKO (UMUELO/OVOKO AGU WARD),0,0,0,0,0,0,19
ENUGU,IGBO EZE SOUTH,OVOKO (UMULOLO WARD),0,0,0,0,0,0,19
ENUGU,IGBO EZE SOUTH,UHUNOWERRE,0,0,0,0,0,0,9
ENUGU,IGBO EZE SOUTH,UNADU,0,0,0,0,0,0,9
ENUGU,NSUKKA,AGBEMEBE/UMABOR,0,0,0,0,0,0,18
ENUGU,NSUKKA,AKALITE,0,0,0,0,0,0,20
ENUGU,NSUKKA,AKPA/OZZI,0,0,0,0,0,0,14
ENUGU,NSUKKA,ALOR-UNO,0,0,0,0,0,0,11
ENUGU,NSUKKA,EDE-NTA,0,0,0,0,0,0,11
ENUGU,NSUKKA,EDE-UKWU,0,0,0,0,0,0,13
ENUGU,NSUKKA,EDEM-ANI,0,0,0,0,0,0,17
ENUGU,NSUKKA,EHA-NDIAGU,0,0,0,0,0,0,17
ENUGU,NSUKKA,EHA-UNO,0,0,0,0,0,0,14
ENUGU,NSUKKA,EJUONA/UWANI,0,0,0,0,0,0,17
ENUGU,NSUKKA,IBAGWANI/IBAGWAGA OKPALIGBO,0,0,0,0,0,0,20
ENUGU,NSUKKA,IBEKU,0,0,0,0,0,0,19
ENUGU,NSUKKA,IHE,0,0,0,0,0,0,42
ENUGU,NSUKKA,MKPUNANO,0,0,0,0,0,0,32
ENUGU,NSUKKA,NNU,0,0,0,0,0,0,18
ENUGU,NSUKKA,OBIMO/IKWOKA,0,0,0,0,0,0,14
ENUGU,NSUKKA,OBUKPA,0,0,0,0,0,0,26
ENUGU,NSUKKA,OGBOZALLA/IDI,0,0,0,0,0,0,26
ENUGU,NSUKKA,OKPUJE/OKUTU/ANUKA,0,0,0,0,0,0,12
ENUGU,NSUKKA,OWERRE/UMUOYO,0,0,0,0,0,0,36
ENUGU,UDENU,AMALA,0,0,0,0,0,0,23
ENUGU,UDENU,EZIMO,0,0,0,0,0,0,12
