State,LGA,Election ID,Election Name,Election Date,Ward,Ward Code,Ward ID,Polling Unit,PU Code,PU ID,Polling Unit ID,Result Updated Time,Session,Ballots Issued,Ballots Used,Invalid Votes,Result Info PU,Total Accredited,Total Registered,Valid Votes,Image File,Image URL,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,DLA,LP,NDC,NDP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,ALAMA VILLAGE SQUARE,32/05/03/001,6a35ca7a81ddfe01b36fb041,108139,,1781973777604,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107041/679a663b-e628-4edc-b30f-31fb8d6b261f.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,IWOMA VILLAGE SQUARE,32/05/03/002,6a35ca7a81ddfe01b36fb036,108140,,1781975530408,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107042/25c105c0-be77-4022-8d1e-7b0d92182591.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,DEMA TOWN HALL,32/05/03/003,6a35ca7a81ddfe01b36fb02e,108141,,1781989157165,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107043/9dc136b5-dc97-44d3-b206-06441c322117.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,ISIAMA VILLAGE SQUARE,32/05/03/004,6a35ca7a81ddfe01b36fb031,108142,,1781977144152,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107044/0ec21bf4-f57f-48b6-9430-45dc4a5f5990.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,OMENUKO/OTUKO VILLAGE SQUARE,32/05/03/005,6a35ca7a81ddfe01b36fb03b,108143,,1781977112743,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107045/3e0942e5-fd78-42b1-b532-733abd32ed73.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,SAMANGA VILLAGE SQUARE,32/05/03/006,6a35ca7a81ddfe01b36fb042,108144,,1781977117682,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107046/5e152dc6-d760-480c-b68f-fa7694151608.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,ISIOKWAN OBOLO VILLAGE SQUARE I,32/05/03/007,6a35ca7a81ddfe01b36fb035,108145,,1781981468660,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107047/6cf97af2-8343-4891-ba91-a39d83e67e1a.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,EMENUDONG TOWN SQUARE,32/05/03/008,6a35ca7a81ddfe01b36fb03c,108146,,1781989174754,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107048/9ea31725-2db0-4a74-9a8f-aa1723808a98.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,OTURUBA VILLAGE SQUARE,32/05/03/009,6a35ca7a81ddfe01b36fb03e,108147,,1781977119751,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107049/26446836-ebfc-4374-bf6c-28e74fd81652.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivers,ANDONI,6a35ca5181ddfe01b36faefd,Senatorial election - 2026-06-20 - rivers south east,2026-06-19T23:00:00.000Z,AGWUT-OBOLO,03,5f0f3ec68f77bb3acad0ac1b,OKOKIRI-EDIDIM VILLAGE SQUARE,32/05/03/010,6a35ca7a81ddfe01b36fb033,108148,,1781989208055,0,0,0,,0,0,0,,https://inc-s3-cache.incportals.com/cached/express/results/2988/33/680/7811/107050/f5d795e2-0c86-4a2c-ac5d-f3d049054fdd.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
