State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,ADC,ADP,APC,APGA,APM,NNPP,PDP,SDP,ZLP,Polling Units
FCT,KUJE,CHIBIRI,24100,5153,244,5373,25148,4893,9,2,79,15,1869,1129,22,20,1959,10,2,42
FCT,KUJE,GAUBE,21156,6364,320,6326,21178,5985,3,0,73,15,3684,207,3,12,2221,3,0,43
FCT,KUJE,GUDUN KARYA,9104,2855,29,2838,9130,2815,1,0,1,1,854,564,3,6,1392,2,1,20
FCT,KUJE,GWARGWADA,4351,1796,17,1786,4805,1525,0,0,2,0,878,88,1,2,791,0,0,10
FCT,KUJE,KABI,7892,3005,28,2992,7901,2964,0,0,1,5,1389,510,1,3,1053,2,0,16
FCT,KUJE,KUJE,45413,8862,380,8214,45252,7851,11,1,201,24,3108,436,19,65,3973,7,1,76
FCT,KUJE,KUJEKWA,6479,2072,4,2067,6481,2063,0,0,7,3,1032,138,2,53,827,1,0,12
FCT,KUJE,KWAKU,7221,3195,54,3190,7190,3131,0,0,6,3,1612,327,1,2,1180,0,0,12
FCT,KUJE,RUBOCHI,17124,4899,126,4800,12408,4882,5,2,341,15,1964,718,2,8,1611,1,1,24
FCT,KUJE,YENCHE,3335,1370,27,1369,3314,1342,0,0,5,2,601,126,2,3,603,0,0,7
